Date,White,Black,Result,Elo White,Elo Black,Time Control,Game URL
2023-09-23 07:51:17,riya123498,prorok06,resigned,238,562,600,https://www.chess.com/game/live/81684761072
2023-09-23 07:54:06,riya123498,Mariosimamora63,win,387,238,600,https://www.chess.com/game/live/81684800578
2023-09-23 07:56:39,Prashuday,riya123498,resigned,566,306,600,https://www.chess.com/game/live/81684817360
2023-09-23 07:58:08,vinhai1234,riya123498,resigned,309,213,600,https://www.chess.com/game/live/81684831990
2023-09-23 08:01:31,Pratyaksh112,riya123498,resigned,243,144,600,https://www.chess.com/game/live/81684839900
2023-09-23 08:12:13,riya123498,clumsyhornet52,win,197,100,600,https://www.chess.com/game/live/81684859130
2023-09-23 08:17:09,RITIK1876,riya123498,win,250,258,600,https://www.chess.com/game/live/81684928968
2023-09-24 15:27:52,riya123498,Izies,resigned,211,254,600,https://www.chess.com/game/live/81696858542
2023-09-24 15:28:40,Thekingez09,riya123498,resigned,239,172,600,https://www.chess.com/game/live/81696888142
2023-09-24 15:39:34,riya123498,Ksanju09112005,insufficient,166,116,600,https://www.chess.com/game/live/81696893998
2023-09-24 15:40:22,riya123498,violet0995,resigned,129,139,600,https://www.chess.com/game/live/81696981854
2023-09-24 15:41:42,honzavrazdil,riya123498,resigned,173,102,600,https://www.chess.com/game/live/81696987926
2023-09-24 15:56:41,MHY9727,riya123498,timeout,197,100,600,https://www.chess.com/game/live/81697000324
2023-09-24 15:59:13,Naveen12o,riya123498,win,100,125,600,https://www.chess.com/game/live/81697121250
2023-09-24 16:00:47,aizakku69,riya123498,resigned,137,101,600,https://www.chess.com/game/live/81697140048
2023-09-24 16:03:30,riya123498,yigityk19,win,123,100,600,https://www.chess.com/game/live/81697152598
2023-09-24 16:04:51,BedoK15,riya123498,win,100,143,600,https://www.chess.com/game/live/81697174430
2023-09-24 16:10:50,shreyanshr1,riya123498,win,100,159,600,https://www.chess.com/game/live/81697186072
2023-09-24 16:47:18,kyotakaAizen,riya123498,win,100,176,600,https://www.chess.com/game/live/81697475032
2023-09-24 17:02:51,riya123498,Heisenburrrr,resigned,161,262,600,https://www.chess.com/game/live/81697538866
2023-09-25 07:30:02,riya123498,itsyashgoyal,resigned,144,183,600,https://www.chess.com/game/live/81702246910
2023-09-25 07:47:47,EdHusker473,riya123498,timeout,176,128,600,https://www.chess.com/game/live/81702249662
2023-09-25 07:58:36,mauroford,riya123498,win,100,143,600,https://www.chess.com/game/live/81702350014
2023-09-25 08:00:53,Japi33,riya123498,resigned,152,127,600,https://www.chess.com/game/live/81702399688
2023-09-25 08:19:08,riya123498,slKN_05,stalemate,127,136,600,https://www.chess.com/game/live/81702406122
2023-09-25 08:59:44,riya123498,odee400,resigned,112,130,600,https://www.chess.com/game/live/81702658764
2023-09-25 09:00:13,jajcob06,riya123498,win,100,125,600,https://www.chess.com/game/live/81702725366
2023-09-25 09:07:16,riya123498,DJplay5,win,138,103,600,https://www.chess.com/game/live/81702727736
2023-09-25 14:08:28,riya123498,shoeit09,win,151,100,600,https://www.chess.com/game/live/89389232653
2023-09-25 16:16:23,prash4871,riya123498,resigned,241,141,600,https://www.chess.com/game/live/81705915012
2023-09-25 16:29:39,Bassman150,riya123498,checkmated,250,132,600,https://www.chess.com/game/live/81705999136
2023-09-26 12:26:05,riya123498,anesty_may,resigned,120,143,600,https://www.chess.com/game/live/89469036421
2023-09-26 12:30:11,riya123498,TheEnglishNavy,win,132,128,600,https://www.chess.com/game/live/81713243384
2023-09-26 12:31:21,riya123498,botuna23,win,141,100,600,https://www.chess.com/game/live/81713246598
2023-09-26 12:51:31,GPapaiCy,riya123498,timevsinsufficient,136,141,600,https://www.chess.com/game/live/81713255278
2023-09-26 19:51:00,riya123498,Korkutbetl,timeout,131,182,600,https://www.chess.com/game/live/81716848766
2023-09-28 08:13:43,riya123498,sssoham19,resigned,120,131,600,https://www.chess.com/game/live/81729883672
2023-09-28 08:14:17,riya123498,kostya2287,win,131,131,600,https://www.chess.com/game/live/81729938042
2023-09-28 08:28:55,ricatrbl,riya123498,checkmated,109,120,600,https://www.chess.com/game/live/81729942096
2023-09-28 08:36:40,riya123498,polzlolz,win,129,100,600,https://www.chess.com/game/live/81730029250
2023-09-28 08:42:24,riya123498,ta11may,resigned,120,152,600,https://www.chess.com/game/live/81730088074
2023-09-28 08:48:03,12_raj,riya123498,win,127,130,600,https://www.chess.com/game/live/81730111636
2023-09-28 09:08:29,sasquatch7592,riya123498,win,121,139,600,https://www.chess.com/game/live/81730162826
2023-09-28 15:43:24,namithebaefish,riya123498,resigned,166,131,600,https://www.chess.com/game/live/81733229348
2023-09-28 15:51:01,riya123498,Karenchong_83,win,139,100,600,https://www.chess.com/game/live/81733336034
2023-09-28 15:55:01,2exclusive28,riya123498,win,100,149,600,https://www.chess.com/game/live/81733411754
2023-09-28 15:58:00,riya123498,Vlad_boss10,win,156,100,600,https://www.chess.com/game/live/81733440312
2023-09-28 16:04:32,Masony22,riya123498,win,144,164,600,https://www.chess.com/game/live/81733467096
2023-09-28 16:16:32,Hallo2182,riya123498,win,166,172,600,https://www.chess.com/game/live/81733529022
2023-09-29 09:22:54,riya123498,wafi2a,resigned,164,185,600,https://www.chess.com/game/live/81739653750
2023-09-29 09:58:05,riya123498,Ashutosh990508,resigned,159,487,600,https://www.chess.com/game/live/89719719953
2023-09-29 10:19:08,Ashutosh990508,riya123498,stalemate,366,164,600,https://www.chess.com/game/live/89720410813
2023-09-29 10:34:17,riya123498,Ashutosh990508,win,175,180,600,https://www.chess.com/game/live/89721629625
2023-09-30 11:35:21,benjaminabsse,riya123498,win,169,183,600,https://www.chess.com/game/live/81749528200
2023-09-30 11:38:05,sixblueeyes,riya123498,agreed,191,183,600,https://www.chess.com/game/live/81749642572
2023-09-30 11:45:00,riya123498,sixblueeyes,win,191,179,600,https://www.chess.com/game/live/81749653212
2023-09-30 11:46:52,riya123498,maanas_144,resigned,183,189,600,https://www.chess.com/game/live/81749704958
2023-09-30 12:01:09,riya123498,Eldhiaa,resigned,177,282,600,https://www.chess.com/game/live/81749711644
2023-10-06 15:35:41,buttsnorklr,riya123498,resigned,218,170,600,https://www.chess.com/game/live/81804868648
2023-10-06 15:38:56,riya123498,Dr_B_1,win,178,147,600,https://www.chess.com/game/live/81804964600
2023-10-06 15:45:03,riya123498,sassidharan,win,185,124,600,https://www.chess.com/game/live/81804995748
2023-10-06 15:59:16,riya123498,king_marouane,win,194,234,600,https://www.chess.com/game/live/81805048288
2023-10-06 16:12:47,chitu0503,riya123498,resigned,188,186,600,https://www.chess.com/game/live/81805202968
2023-10-06 16:22:46,ssarcassem,riya123498,resigned,160,177,600,https://www.chess.com/game/live/81805294500
2023-10-06 16:42:17,riya123498,umbrahim,win,187,238,600,https://www.chess.com/game/live/81805410532
2023-10-07 13:36:44,HazardousDev,riya123498,resigned,228,180,600,https://www.chess.com/game/live/81812873126
2023-10-07 14:44:05,riya123498,kingkiller12121,checkmated,172,202,600,https://www.chess.com/game/live/81813370888
2023-10-07 14:45:22,riya123498,isabellaortegon,resigned,164,182,600,https://www.chess.com/game/live/81813393442
2023-10-07 14:57:53,isabellaortegon,riya123498,win,174,172,600,https://www.chess.com/game/live/81813402188
2023-10-07 15:08:39,b3nj_00,riya123498,win,107,179,600,https://www.chess.com/game/live/81813501996
2023-10-07 15:27:12,samrajput069,riya123498,timevsinsufficient,148,178,600,https://www.chess.com/game/live/81813589022
2023-10-07 15:37:32,manuxd_uwu,riya123498,checkmated,204,170,600,https://www.chess.com/game/live/81813738444
2023-10-07 15:51:50,dntknwchesss,riya123498,checkmated,238,163,600,https://www.chess.com/game/live/81813822510
2023-10-07 15:56:34,riya123498,samim26,resigned,156,232,600,https://www.chess.com/game/live/81813941410
2023-10-07 15:59:41,pluteye,riya123498,win,126,163,600,https://www.chess.com/game/live/81813975774
2023-10-07 16:03:48,zlotapagoda,riya123498,resigned,247,157,600,https://www.chess.com/game/live/81814000404
2023-10-07 16:15:40,riya123498,pig_genral,resigned,151,262,600,https://www.chess.com/game/live/81814032802
2023-10-07 16:33:07,riya123498,ssb413,checkmated,142,110,600,https://www.chess.com/game/live/81814178770
2023-10-07 16:50:25,riya123498,MZGS70,win,150,131,600,https://www.chess.com/game/live/81814266120
2023-10-08 03:27:51,RaF_rildertyp,riya123498,win,213,160,600,https://www.chess.com/game/live/81817945246
2023-10-08 03:40:52,riya123498,dlwlrmaz,win,167,100,600,https://www.chess.com/game/live/81817969948
2023-10-08 04:01:12,riya123498,Luigicojeburras,win,176,190,600,https://www.chess.com/game/live/81818090024
2023-10-08 09:04:18,riya123498,kmj7497,checkmated,169,211,600,https://www.chess.com/game/live/81819581866
2023-10-08 09:05:11,Rajadg,riya123498,checkmated,164,161,600,https://www.chess.com/game/live/81819681758
2023-10-08 09:13:01,riya123498,SaraA777a,win,169,133,600,https://www.chess.com/game/live/81819686564
2023-10-08 09:24:47,Aniketrajpal,riya123498,resigned,266,163,600,https://www.chess.com/game/live/81819733892
2023-10-08 09:48:28,Ashutosh990508,riya123498,win,100,170,600,https://www.chess.com/game/live/90497359417
2023-10-08 09:56:39,riya123498,Ashutosh990508,agreed,169,112,600,https://www.chess.com/game/live/90497418139
